gradus       ,genus      ,numeralis  ,casus       ,scriptum
comparativus ,neutrum    ,pluralis   ,nominativus ,iōra
comparativus ,neutrum    ,pluralis   ,genitivus   ,iōrum
superlativus ,neutrum    ,pluralis   ,dativus     ,iōribus
superlativus ,neutrum    ,pluralis   ,accusativus ,iōra
superlativus ,neutrum    ,pluralis   ,ablativus   ,iōribus
superlativus ,neutrum    ,pluralis   ,locaivus    ,iōribus
comparativus ,neutrum    ,pluralis   ,vocaivus    ,iōra
comparativus ,masculinum ,singularis ,nominativus ,ior
comparativus ,masculinum ,singularis ,genitivus   ,iōris
superlativus ,masculinum ,singularis ,dativus     ,iōrī
superlativus ,masculinum ,singularis ,accusativus ,iōrem
superlativus ,masculinum ,singularis ,ablativus   ,iōre
superlativus ,masculinum ,singularis ,locaivus    ,iōre
comparativus ,masculinum ,singularis ,vocaivus    ,ior
comparativus ,masculinum ,pluralis   ,nominativus ,iōrēs
comparativus ,masculinum ,pluralis   ,genitivus   ,iōrum
superlativus ,masculinum ,pluralis   ,dativus     ,iōribus
superlativus ,masculinum ,pluralis   ,accusativus ,iōrēs
superlativus ,masculinum ,pluralis   ,ablativus   ,iōribus
superlativus ,masculinum ,pluralis   ,locaivus    ,iōribus
comparativus ,masculinum ,pluralis   ,vocaivus    ,iōrēs
comparativus ,femininum  ,singularis ,nominativus ,ior
comparativus ,femininum  ,singularis ,genitivus   ,iōris
superlativus ,femininum  ,singularis ,dativus     ,iōrī
superlativus ,femininum  ,singularis ,accusativus ,iōrem
superlativus ,femininum  ,singularis ,ablativus   ,iōre
superlativus ,femininum  ,singularis ,locaivus    ,iōre
comparativus ,femininum  ,singularis ,vocaivus    ,ior
comparativus ,femininum  ,pluralis   ,nominativus ,iōrēs
comparativus ,femininum  ,pluralis   ,genitivus   ,iōrum
superlativus ,femininum  ,pluralis   ,dativus     ,iōribus
superlativus ,femininum  ,pluralis   ,accusativus ,iōrēs
superlativus ,femininum  ,pluralis   ,ablativus   ,iōribus
superlativus ,femininum  ,pluralis   ,locaivus    ,iōribus
comparativus ,femininum  ,pluralis   ,vocaivus    ,iōrēs
superlativus ,neutrum    ,singularis ,nominativus ,um
superlativus ,neutrum    ,singularis ,genitivus   ,ī
superlativus ,neutrum    ,singularis ,dativus     ,ō
superlativus ,neutrum    ,singularis ,accusativus ,um
superlativus ,neutrum    ,singularis ,ablativus   ,ō
superlativus ,neutrum    ,singularis ,locaivus    ,ō
superlativus ,neutrum    ,singularis ,vocativus   ,um
superlativus ,neutrum    ,pluralis   ,nominativus ,a
superlativus ,neutrum    ,pluralis   ,genitivus   ,ōrum
superlativus ,neutrum    ,pluralis   ,dativus     ,īs
superlativus ,neutrum    ,pluralis   ,accusativus ,a
superlativus ,neutrum    ,pluralis   ,ablativus   ,īs
superlativus ,neutrum    ,pluralis   ,locaivus    ,īs
superlativus ,neutrum    ,pluralis   ,vocativus   ,a
superlativus ,masculinum ,singularis ,nominativus ,us
superlativus ,masculinum ,singularis ,genitivus   ,ī
superlativus ,masculinum ,singularis ,dativus     ,ō
superlativus ,masculinum ,singularis ,accusativus ,um
superlativus ,masculinum ,singularis ,ablativus   ,ō
superlativus ,masculinum ,singularis ,locaivus    ,ō
superlativus ,masculinum ,singularis ,vocativus   ,e
superlativus ,masculinum ,pluralis   ,nominativus ,ī
superlativus ,masculinum ,pluralis   ,genitivus   ,ōrum
superlativus ,masculinum ,pluralis   ,dativus     ,īs
superlativus ,masculinum ,pluralis   ,accusativus ,ōs
superlativus ,masculinum ,pluralis   ,ablativus   ,īs
superlativus ,masculinum ,pluralis   ,locaivus    ,īs
superlativus ,masculinum ,pluralis   ,vocativus   ,ī
superlativus ,femininum  ,singularis ,nominativus ,a
superlativus ,femininum  ,singularis ,genitivus   ,ae
superlativus ,femininum  ,singularis ,dativus     ,ae
superlativus ,femininum  ,singularis ,accusativus ,am
superlativus ,femininum  ,singularis ,ablativus   ,ā
superlativus ,femininum  ,singularis ,locaivus    ,ā
superlativus ,femininum  ,singularis ,vocativus   ,a
superlativus ,femininum  ,pluralis   ,nominativus ,ae
superlativus ,femininum  ,pluralis   ,genitivus   ,ārum
superlativus ,femininum  ,pluralis   ,dativus     ,īs
superlativus ,femininum  ,pluralis   ,accusativus ,ās
superlativus ,femininum  ,pluralis   ,ablativus   ,īs
superlativus ,femininum  ,pluralis   ,locaivus    ,īs
superlativus ,femininum  ,pluralis   ,vocativus   ,ae
